City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Stornoway,GB,58.2093,-6.3865,55.92,87,20,4.61,few clouds
338,Kisangani,CD,0.5167,25.2,71.44,90,58,1.59,broken clouds
339,Coolum Beach,AU,-26.5333,153.1,75.34,54,1,3.85,clear sky
340,Santo Andre,BR,-23.6639,-46.5383,60.85,95,90,4.61,mist
341,Marawi,PH,7.9986,124.2928,73.65,81,96,1.12,overcast clouds
342,Ulladulla,AU,-35.35,150.4667,65.88,45,0,14.27,clear sky
343,Road Town,VG,18.4167,-64.6167,81.19,80,100,19.35,overcast clouds
344,Guozhen,CN,34.3659,107.359,73.72,76,95,4.29,overcast clouds
345,Ilo,PE,-17.6394,-71.3375,59.99,82,62,6.91,broken clouds
346,Kendari,ID,-3.945,122.4989,78.44,80,18,2.98,few clouds
347,Knyaginino,RU,55.8228,45.0349,61.09,76,36,4.41,scattered clouds
348,Jiazi,CN,22.8779,116.067,82.94,81,0,6.08,clear sky
349,Derby,GB,52.9228,-1.4766,58.08,94,40,11.5,scattered clouds
350,Mahibadhoo,MV,3.7833,72.9667,82.27,71,89,13.76,overcast clouds
351,Payo,ID,-3.7508,103.6372,74.48,86,100,1.72,overcast clouds
352,Umm Kaddadah,SD,13.6017,26.6876,83.8,51,97,8.66,overcast clouds
353,Talnakh,RU,69.4865,88.3972,55.89,94,100,10.4,light rain
354,Flinders,AU,-34.5833,150.8552,67.17,42,0,4.0,clear sky
355,Grado,ES,43.388,-6.0743,64.9,93,75,2.3,broken clouds
356,Tezu,IN,27.9167,96.1667,76.69,94,100,1.99,overcast clouds
357,Olafsvik,IS,64.8945,-23.7142,53.37,89,100,11.77,overcast clouds
358,Aguimes,ES,27.9054,-15.4461,79.43,57,0,19.57,clear sky
359,Beldanga,IN,23.9333,88.25,80.15,90,95,5.32,overcast clouds
360,Ampanihy,MG,-24.7,44.75,58.68,77,0,11.5,clear sky
361,Kattivakkam,IN,13.2167,80.3167,82.49,72,100,8.79,overcast clouds
362,Abay,KZ,49.6311,72.8539,35.98,65,50,4.81,scattered clouds
363,Atkinson,US,42.8384,-71.147,71.51,73,1,1.99,clear sky
364,Ridgecrest,US,35.6225,-117.6709,111.06,11,1,5.75,clear sky
365,Pagudpud,PH,18.5616,120.7868,82.36,75,62,6.73,broken clouds
366,Kocsord,HU,47.9391,22.3833,73.51,63,55,3.87,broken clouds
367,Bar Harbor,US,44.3876,-68.2039,68.02,60,1,4.0,clear sky
368,Hanyang,CN,32.1371,105.5126,68.04,95,100,1.1,light rain
369,Kysyl-Syr,RU,63.8986,122.7617,54.5,71,100,3.78,overcast clouds
370,Ixtapa,MX,20.7,-105.2,87.22,70,40,9.22,scattered clouds
371,Springville,US,40.1652,-111.6107,93.67,24,1,1.01,haze
372,Ames,US,42.0347,-93.6199,80.02,55,1,8.05,clear sky
373,Moron,AR,-34.6534,-58.6198,50.99,98,0,3.0,clear sky
374,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.6,77,90,11.14,overcast clouds
375,Katsuura,JP,35.1333,140.3,71.64,88,100,13.18,overcast clouds
376,Sisimiut,GL,66.9395,-53.6735,46.69,87,84,3.11,broken clouds
377,Omsukchan,RU,62.5333,155.8,60.49,55,43,6.69,scattered clouds
378,Bhanpuri,IN,21.1,80.9167,76.8,89,100,4.47,overcast clouds
379,Srednekolymsk,RU,67.45,153.6833,51.6,52,100,9.26,overcast clouds
380,Broome,US,42.2506,-75.833,68.38,78,1,1.99,clear sky
381,Itacarambi,BR,-15.1022,-44.0919,74.48,36,0,2.77,clear sky
382,Kangalassy,RU,62.3464,129.9628,60.73,75,67,5.84,broken clouds
383,Makakilo City,US,21.3469,-158.0858,89.92,44,1,6.91,clear sky
384,Jejuri,IN,18.2833,74.1667,69.33,90,65,6.11,broken clouds
385,Itoman,JP,26.1247,127.6694,86.02,84,40,10.36,scattered clouds
386,Kieta,PG,-6.2167,155.6333,84.88,68,99,4.07,light rain
387,Montrose,US,38.4166,-108.2673,83.61,22,73,9.24,broken clouds
388,Sabang,ID,5.8933,95.3214,81.41,71,100,11.88,overcast clouds
389,Garmsar,IR,35.2182,52.3409,82.72,32,37,7.18,scattered clouds
390,Luderitz,NA,-26.6481,15.1594,55.8,69,2,9.04,clear sky
391,Prince George,CA,53.9166,-122.753,77.25,35,1,4.0,clear sky
392,Romny,UA,50.751,33.4747,64.63,58,2,2.91,clear sky
393,San Rafael,AR,-34.6177,-68.3301,58.66,23,98,6.24,overcast clouds
394,Boende,CD,-0.2167,20.8667,74.14,74,72,1.61,broken clouds
