City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Tallahassee,US,84.61,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
263,La Ronge,CA,77.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
266,Casambalangan,PH,82.87,overcast clouds,18.3765,122.1274,Villa Saturnina
268,North Bend,US,76.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
269,Samarai,PG,79.25,scattered clouds,-10.6167,150.6667,Nuli Sapi
270,Pringsewu,ID,75.87,overcast clouds,-5.3582,104.9744,Urban Style by Front One
272,Oussouye,SN,80.69,light rain,12.485,-16.5469,Auberge du Routard
273,Kilindoni,TZ,75.99,few clouds,-7.9139,39.6668,Bustani B&B
275,Mastic,US,75.18,clear sky,40.802,-72.8409,Southaven County Park Campground
277,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
279,Qui Nhon,VN,78.03,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
282,San Rafael Del Sur,NI,85.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
289,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
291,Tambun,ID,78.84,haze,-6.2641,107.0712,@HOM Premiere Tambun
293,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
295,Marabba,SD,76.01,overcast clouds,12.35,32.1833,
296,Meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
298,Nortelandia,BR,79.59,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
302,Morgan City,US,84.99,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
304,Kavieng,PG,83.64,light rain,-2.5744,150.7967,Nusa Island Retreat
308,Seoul,KR,80.17,clear sky,37.5683,126.9778,롯데호텔 서울
309,Mailsi,PK,88.25,scattered clouds,29.8003,72.1758,Mian Lodge
315,Saint Anthony,US,82.81,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
318,Nioro,GM,76.84,overcast clouds,13.35,-15.75,
319,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
320,Vaitape,PF,78.85,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
321,Mondragone,IT,81.39,clear sky,41.1141,13.8935,villa lucia
322,Kirakira,SB,81.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
323,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
324,Dingle,PH,81.86,light rain,10.9995,122.6711,SEGAYA PROPERTY
327,Buchanan,LR,75.99,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
334,Bunol,ES,78.8,scattered clouds,39.4167,-0.7833,HOTEL CONDES DE BUÑOL
335,Le Vauclin,MQ,81.84,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
339,Coolum Beach,AU,75.34,clear sky,-26.5333,153.1,Palmer Coolum Resort
343,Road Town,VG,81.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
346,Kendari,ID,78.44,few clouds,-3.945,122.4989,Hotel Wixel
348,Jiazi,CN,82.94,clear sky,22.8779,116.067,Hotel Jin Hao
350,Mahibadhoo,MV,82.27,overcast clouds,3.7833,72.9667,Omadhoo Inn
352,Umm Kaddadah,SD,83.8,overcast clouds,13.6017,26.6876,
356,Tezu,IN,76.69,overcast clouds,27.9167,96.1667,Circuit House
358,Aguimes,ES,79.43,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
359,Beldanga,IN,80.15,overcast clouds,23.9333,88.25,"Saha Computer, CSC Centre"
361,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
365,Pagudpud,PH,82.36,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
370,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
372,Ames,US,80.02,clear sky,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
378,Bhanpuri,IN,76.8,overcast clouds,21.1,80.9167,Sadanad verma
383,Makakilo City,US,89.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
385,Itoman,JP,86.02,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
386,Kieta,PG,84.88,light rain,-6.2167,155.6333,Uruna Bay Retreat
387,Montrose,US,83.61,broken clouds,38.4166,-108.2673,
388,Sabang,ID,81.41,overcast clouds,5.8933,95.3214,Hotel Citra
389,Garmsar,IR,82.72,scattered clouds,35.2182,52.3409,آذین فوم
391,Prince George,CA,77.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
397,Luganville,VU,76.55,broken clouds,-15.5333,167.1667,The Espiritu Hotel
399,Marsh Harbour,BS,82.47,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
401,Camaguey,CU,80.94,light rain,21.3808,-77.9169,Tararaco
403,Dera Bugti,PK,83.86,clear sky,29.0307,69.151,Nawab Bugti House
404,Gambissara,SN,75.0,overcast clouds,13.2382,-14.3108,
406,Bengkulu,ID,75.15,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
407,Shenjiamen,CN,78.82,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
411,Omboue,GA,75.49,broken clouds,-1.5746,9.2618,Hotel Olako
418,Pingdu,CN,80.04,scattered clouds,36.7844,119.9464,Dongfang Hotel
420,Bambanglipuro,ID,76.84,scattered clouds,-7.95,110.2833,Puri Brata
424,Kushikino,JP,80.06,overcast clouds,31.7167,130.2667,Tajiri Inn
425,Moussoro,TD,82.67,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
427,Yaring,TH,75.24,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
430,Bandarbeyla,SO,76.86,scattered clouds,9.4942,50.8122,JABIR HOTEL
432,Lexington,US,75.09,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
433,Merauke,ID,79.84,overcast clouds,-8.4667,140.3333,
435,Lamar,US,84.36,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
